filename,file_size,file_attributes,region_count,region_id,region_shape_attributes,region_attributes
cj.png,1673067,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",1,0,"{""name"":""rect"",""x"":501,""y"":801,""width"":392,""height"":450}","{}"
ck.png,1923701,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",2,0,"{""name"":""rect"",""x"":53,""y"":794,""width"":374,""height"":458}","{}"
ck.png,1923701,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",2,1,"{""name"":""rect"",""x"":1030,""y"":1234,""width"":379,""height"":458}","{}"
cl.png,2207094,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",5,0,"{""name"":""rect"",""x"":277,""y"":768,""width"":394,""height"":463}","{}"
cl.png,2207094,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",5,1,"{""name"":""rect"",""x"":1025,""y"":262,""width"":382,""height"":450}","{}"
cl.png,2207094,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",5,2,"{""name"":""rect"",""x"":1010,""y"":519,""width"":389,""height"":433}","{}"
cl.png,2207094,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",5,3,"{""name"":""rect"",""x"":466,""y"":1165,""width"":483,""height"":405}","{}"
cl.png,2207094,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",5,4,"{""name"":""rect"",""x"":883,""y"":1221,""width"":382,""height"":458}","{}"
cm.png,2357219,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",6,0,"{""name"":""rect"",""x"":287,""y"":305,""width"":369,""height"":440}","{}"
cm.png,2357219,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",6,1,"{""name"":""rect"",""x"":463,""y"":674,""width"":488,""height"":433}","{}"
cm.png,2357219,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",6,2,"{""name"":""rect"",""x"":888,""y"":735,""width"":371,""height"":443}","{}"
cm.png,2357219,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",6,3,"{""name"":""rect"",""x"":567,""y"":1285,""width"":460,""height"":427}","{}"
cm.png,2357219,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",6,4,"{""name"":""rect"",""x"":321,""y"":1259,""width"":364,""height"":458}","{}"
cm.png,2357219,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",6,5,"{""name"":""rect"",""x"":827,""y"":1277,""width"":402,""height"":440}","{}"
cn.png,2445546,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",6,0,"{""name"":""rect"",""x"":817,""y"":1028,""width"":379,""height"":463}","{}"
cn.png,2445546,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",6,1,"{""name"":""rect"",""x"":473,""y"":913,""width"":387,""height"":453}","{}"
cn.png,2445546,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",6,2,"{""name"":""rect"",""x"":313,""y"":435,""width"":387,""height"":453}","{}"
cn.png,2445546,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",6,3,"{""name"":""rect"",""x"":763,""y"":244,""width"":392,""height"":435}","{}"
cn.png,2445546,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",6,4,"{""name"":""rect"",""x"":181,""y"":1221,""width"":514,""height"":435}","{}"
cn.png,2445546,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",6,5,"{""name"":""rect"",""x"":346,""y"":1331,""width"":407,""height"":440}","{}"
co.png,2497064,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",4,0,"{""name"":""rect"",""x"":1071,""y"":453,""width"":481,""height"":443}","{}"
co.png,2497064,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",4,1,"{""name"":""rect"",""x"":1239,""y"":262,""width"":369,""height"":427}","{}"
co.png,2497064,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",4,2,"{""name"":""rect"",""x"":2399,""y"":1107,""width"":280,""height"":471}","{}"
co.png,2497064,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",4,3,"{""name"":""rect"",""x"":1315,""y"":1557,""width"":422,""height"":234}","{}"
cp.png,2650975,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",6,0,"{""name"":""rect"",""x"":929,""y"":616,""width"":481,""height"":417}","{}"
cp.png,2650975,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",6,1,"{""name"":""rect"",""x"":1374,""y"":249,""width"":374,""height"":389}","{}"
cp.png,2650975,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",6,2,"{""name"":""rect"",""x"":1343,""y"":633,""width"":394,""height"":460}","{}"
cp.png,2650975,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",6,3,"{""name"":""rect"",""x"":1580,""y"":1013,""width"":394,""height"":463}","{}"
cp.png,2650975,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",6,4,"{""name"":""rect"",""x"":1084,""y"":1539,""width"":371,""height"":247}","{}"
cp.png,2650975,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",6,5,"{""name"":""rect"",""x"":2402,""y"":356,""width"":280,""height"":458}","{}"
cq.png,1910333,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",2,0,"{""name"":""rect"",""x"":1076,""y"":438,""width"":384,""height"":433}","{}"
cq.png,1910333,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",2,1,"{""name"":""rect"",""x"":1962,""y"":598,""width"":397,""height"":438}","{}"
cr.png,1897754,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",4,0,"{""name"":""rect"",""x"":158,""y"":1109,""width"":371,""height"":450}","{}"
cr.png,1897754,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",4,1,"{""name"":""rect"",""x"":471,""y"":1168,""width"":359,""height"":430}","{}"
cr.png,1897754,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",4,2,"{""name"":""rect"",""x"":265,""y"":1425,""width"":394,""height"":349}","{}"
cr.png,1897754,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",4,3,"{""name"":""rect"",""x"":1117,""y"":824,""width"":471,""height"":308}","{}"
cs.png,2352467,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",6,0,"{""name"":""rect"",""x"":354,""y"":840,""width"":478,""height"":407}","{}"
cs.png,2352467,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",6,1,"{""name"":""rect"",""x"":435,""y"":1285,""width"":389,""height"":440}","{}"
cs.png,2352467,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",6,2,"{""name"":""rect"",""x"":870,""y"":682,""width"":377,""height"":427}","{}"
cs.png,2352467,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",6,3,"{""name"":""rect"",""x"":661,""y"":705,""width"":483,""height"":399}","{}"
cs.png,2352467,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",6,4,"{""name"":""rect"",""x"":593,""y"":318,""width"":361,""height"":349}","{}"
cs.png,2352467,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",6,5,"{""name"":""rect"",""x"":606,""y"":321,""width"":506,""height"":323}","{}"
ct.png,2156969,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",3,0,"{""name"":""rect"",""x"":435,""y"":435,""width"":387,""height"":460}","{}"
